numero,texte,signataire,organe,dispositif,seance,sort,discussion_commune,discussion_identique,libelleAbrev,cr,url_seance,dispositif_plaintext,scrutin
76,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;16, apr&#232;s le mot&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;sont&#160;&#187;,</p><p style=""text-align: justify;"">ins&#233;rer&#160;le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;obligatoirement&#160;&#187;.</p>",RUANR5L16S2023IDS26940,Retiré,,,RN,CRSANR5L16S2023O1N194,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N194,"À l’alinéa 16, après le mot : « sont »,insérer le mot :« obligatoirement ».",
1,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">R&#233;diger ainsi la seconde phrase de l&#8217;alin&#233;a&#160;6&#160;:</p><p style=""text-align: justify;"">&#171;&#160;Est entendu comme lignes r&#233;guli&#232;res internationales touchant un port fran&#231;ais un trajet effectu&#233; par un navire faisant escale dans un port fran&#231;ais au moins toutes les soixante-douze heures en moyenne ou plus de 120 fois par an.&#160;&#187;</p>",RUANR5L16S2023IDS26938,Rejeté,,,RN,CRSANR5L16S2023O1N192,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N192,Rédiger ainsi la seconde phrase de l’alinéa 6 :« Est entendu comme lignes régulières internationales touchant un port français un trajet effectué par un navire faisant escale dans un port français au moins toutes les soixante-douze heures en moyenne ou plus de 120 fois par an. »,VTANR5L16V1302
68,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">R&#233;diger ainsi l&#8217;alin&#233;a&#160;3&#160;:</p><p style=""text-align: justify;"">&#171;&#160;Conditions d&#8217;&#233;tablissement et r&#232;gles sociales applicables aux lignes r&#233;guli&#232;res entre la France et le Royaume-Uni, et l&#8217;Irlande&#160;&#187;.</p>",RUANR5L16S2023IDS26938,Rejeté,,,RN,CRSANR5L16S2023O1N192,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N192,"Rédiger ainsi l’alinéa 3 :« Conditions d’établissement et règles sociales applicables aux lignes régulières entre la France et le Royaume-Uni, et l’Irlande ».",
6,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">&#192; la premi&#232;re phrase de l&#8217;alin&#233;a&#160;23, substituer au montant&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;3 750&#160;euros&#160;&#187;</p><p style=""text-align: justify;"">le montant&#160;:</p><p style=""text-align: justify;"">&#171;&#160;10 000&#160;euros&#160;&#187;</p>",RUANR5L16S2023IDS26940,Tombé,,,RN,CRSANR5L16S2023O1N194,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N194,"À la première phrase de l’alinéa 23, substituer au montant : « 3 750 euros »le montant :« 10 000 euros »",
97,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l'alin&#233;a 10&#160;par la phrase suivante&#160;:</p><p style=""text-align: justify;"">&#171;&#160;En cas de r&#233;cidive,&#160;le navire en infraction a interdiction d&#8217;accoster dans un port&#160;fran&#231;ais pour une dur&#233;e de deux jours. Ladite dur&#233;e est prolong&#233;e de deux jours pour chaque marin &#224; bord ayant ses droits, tels que&#160;mentionn&#233;s au&#160;1&#176;&#160;ou du 2&#176;&#160;de l&#8217;article L.&#160;5562&#8209;4, m&#233;connus.&#160;&#187;</p>",RUANR5L16S2023IDS26938,Rejeté,,,RN,CRSANR5L16S2023O1N192,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N192,"Compléter l'alinéa 10 par la phrase suivante :« En cas de récidive, le navire en infraction a interdiction d’accoster dans un port français pour une durée de deux jours. Ladite durée est prolongée de deux jours pour chaque marin à bord ayant ses droits, tels que mentionnés au 1° ou du 2° de l’article L. 5562‑4, méconnus. »",
81,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">Supprimer l'alin&#233;a 11.</p>",RUANR5L16S2023IDS26938,Rejeté,,,RN,CRSANR5L16S2023O1N192,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N192,Supprimer l'alinéa 11.,
96,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l&#8217;alin&#233;a&#160;10 par la phrase suivante&#160;:</p><p style=""text-align: justify;"">&#171;&#160;En cas de r&#233;cidive,&#160;le navire en infraction a interdiction d&#8217;accoster dans un port&#160;fran&#231;ais pour une dur&#233;e de deux jours. Ladite dur&#233;e est prolong&#233;e de deux jours pour chaque marin &#224; bord ayant ses droits, tels que&#160;mentionn&#233;s au&#160;1&#176;&#160;ou du 2&#176;&#160;de l&#8217;article L.&#160;5562&#8209;4, m&#233;connus.&#160;&#187;</p>",RUANR5L16S2023IDS26938,Rejeté,,,RN,CRSANR5L16S2023O1N192,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N192,"Compléter l’alinéa 10 par la phrase suivante :« En cas de récidive, le navire en infraction a interdiction d’accoster dans un port français pour une durée de deux jours. Ladite durée est prolongée de deux jours pour chaque marin à bord ayant ses droits, tels que mentionnés au 1° ou du 2° de l’article L. 5562‑4, méconnus. »",
11,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a 24, substituer au montant&#160;:&#160;</p><p>&#171;&#160;7 500&#160;euros&#160;&#187;</p><p>le montant&#160;:&#160;</p><p>&#171; 30 000&#160;euros&#160;&#187;.</p>",RUANR5L16S2023IDS26940,Tombé,,,RN,CRSANR5L16S2023O1N194,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N194,"À l’alinéa 24, substituer au montant : « 7 500 euros »le montant : « 30 000 euros ».",
73,PIONANR5L16BTC1005,PA794522,PO800520,"<p style=""text-align: justify;"">&#192; la fin de l&#8217;alin&#233;a&#160;29,&#160;substituer aux mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;dans le domaine des affaires maritimes sous l&#8217;autorit&#233; ou &#224; la disposition du ministre charg&#233; de la mer&#160;&#187;</p><p style=""text-align: justify;"">les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;de l&#8217;application de la l&#233;gislation du travail dans le domaine du transport maritime, conform&#233;ment au code des transports et ses articles L.&#160;5548&#8209;1 &#224; L.&#160;5548&#8209;5&#160;&#187;.</p>",RUANR5L16S2023IDS26940,Rejeté,,,RN,CRSANR5L16S2023O1N194,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N194,"À la fin de l’alinéa 29, substituer aux mots :« dans le domaine des affaires maritimes sous l’autorité ou à la disposition du ministre chargé de la mer »les mots :« de l’application de la législation du travail dans le domaine du transport maritime, conformément au code des transports et ses articles L. 5548‑1 à L. 5548‑5 ».",
73,PIONANR5L16BTC0861,PA794762,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter la premi&#232;re phrase de l&#8217;alin&#233;a&#160;1 par les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;et ce, &#224; condition qu&#8217;au moins un des deux parents soit de nationalit&#233; fran&#231;aise ou justifie de cinq ann&#233;es au moins travaill&#233;es sur le territoire fran&#231;ais&#160;&#187;.</p>",RUANR5L16S2023IDS26846,Rejeté,,,RN,CRSANR5L16S2023O1N165,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N165,"Compléter la première phrase de l’alinéa 1 par les mots :« et ce, à condition qu’au moins un des deux parents soit de nationalité française ou justifie de cinq années au moins travaillées sur le territoire français ».",
69,PIONANR5L16BTC0861,PA794762,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter l&#8217;alin&#233;a&#160;2 par les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;et ce, &#224; condition qu&#8217;au moins un des deux parents soit de nationalit&#233; fran&#231;aise ou justifie de cinq ann&#233;es au moins travaill&#233;es sur le territoire fran&#231;ais&#160;;&#160;&#187;.</p>",RUANR5L16S2023IDS26846,Rejeté,,,RN,CRSANR5L16S2023O1N165,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N165,"Compléter l’alinéa 2 par les mots :« et ce, à condition qu’au moins un des deux parents soit de nationalité française ou justifie de cinq années au moins travaillées sur le territoire français ; ».",
43,PRJLANR5L16BTC0014,PA794582,PO800520,"<p style=""text-align: justify;"">Apr&#232;s l&#8217;alin&#233;a&#160;1, ins&#233;rer l&#8217;alin&#233;a suivant&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;Les personnes pouvant justifier de l&#8217;exercice d&#8217;une activit&#233; professionnelle au sein ou hors du territoire hexagonal, de la Corse, de l&#8217;une des collectivit&#233;s mentionn&#233;es &#224; l&#8217;article&#160;72&#8209;3 de la Constitution ou &#224; l&#8217;&#233;tranger sont exempt&#233;es des dispositions pr&#233;vues au premier alin&#233;a du pr&#233;sent article pour les d&#233;placements par voie terrestre d&#8217;ordre professionnel en provenance de ces territoires d&#8217;une dur&#233;e de moins de vingt-quatre heures.&#160;&#187;</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"Après l’alinéa 1, insérer l’alinéa suivant : « Les personnes pouvant justifier de l’exercice d’une activité professionnelle au sein ou hors du territoire hexagonal, de la Corse, de l’une des collectivités mentionnées à l’article 72‑3 de la Constitution ou à l’étranger sont exemptées des dispositions prévues au premier alinéa du présent article pour les déplacements par voie terrestre d’ordre professionnel en provenance de ces territoires d’une durée de moins de vingt-quatre heures. »",VTANR5L16V10
78,PRJLANR5L16BTC0014,PA721932,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;1, substituer aux mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;souhaitant se d&#233;placer&#160;&#187;&#160;</p><p style=""text-align: justify;"">les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;effectuant un d&#233;placement&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"À l’alinéa 1, substituer aux mots : « souhaitant se déplacer » les mots : « effectuant un déplacement ».",
93,PRJLANR5L16BTC0014,PA794434,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;1, apr&#232;s le mot&#160;:</p><p style=""text-align: justify;"">&#171;&#160;concern&#233;s&#160;&#187;&#160;</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;, apr&#232;s consultation des instances repr&#233;sentatives du personnel&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"À l’alinéa 1, après le mot :« concernés » insérer les mots : « , après consultation des instances représentatives du personnel ».",
136,PRJLANR5L16BTC0014,PA793852,PO800520,"<p style=""text-align: justify;"">Supprimer les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;menaces, crises ou&#160;&#187;.&#160;</p><p style=""text-align: justify;"">&#160;</p>",RUANR5L16S2022IDS26201,Tombé,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"Supprimer les mots : « menaces, crises ou ».  ",
76,PRJLANR5L16BTC0014,PA721932,PO800520,"<p style=""text-align: justify;"">R&#233;diger ainsi&#160;le titre du projet de loi&#160;:</p><p style=""text-align: justify;"">&#171;&#160;maintenant diverses dispositions de vigilance sanitaire&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,Rédiger ainsi le titre du projet de loi :« maintenant diverses dispositions de vigilance sanitaire ».,
79,PRJLANR5L16BTC0014,PA721932,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;1, supprimer les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;,&#160;ainsi qu&#8217;aux personnels intervenant dans les services de transport concern&#233;s,&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"À l’alinéa 1, supprimer les mots : « , ainsi qu’aux personnels intervenant dans les services de transport concernés, ».",
81,PRJLANR5L16BTC0014,PA721932,PO800520,"<p style=""text-align: justify;"">&#192; l&#8217;alin&#233;a&#160;1, substituer aux mots&#160;:</p><p style=""text-align: justify;"">&#160;&#171;&#160;imposer aux&#160;&#187;&#160;</p><p style=""text-align: justify;"">les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;contraindre&#160;les&#160;&#187;.</p>",RUANR5L16S2022IDS26199,Rejeté,,,RN,CRSANR5L16S2022E1N003,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N003,"À l’alinéa 1, substituer aux mots : « imposer aux » les mots : « contraindre les ».",
135,PRJLANR5L16BTC0014,PA793852,PO800520,"<p style=""text-align: justify;"">&#192; la fin, substituer aux&#160;mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;traitements de donn&#233;es &#224; caract&#232;re personnel, auxquels la l&#233;gislation en vigueur ne permet pas de r&#233;pondre de mani&#232;re suffisante&#160;&#187;</p><p style=""text-align: justify;"">les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;protection du secret m&#233;dical, pour lequel les mesures sanitaires ont trop largement d&#233;rog&#233;&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Tombé,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"À la fin, substituer aux mots :« traitements de données à caractère personnel, auxquels la législation en vigueur ne permet pas de répondre de manière suffisante »les mots :« protection du secret médical, pour lequel les mesures sanitaires ont trop largement dérogé ».",
133,PRJLANR5L16BTC0014,PA793852,PO800520,"<p style=""text-align: justify;"">Compl&#233;ter cet article par l&#8217;alin&#233;a suivant&#160;:</p><p style=""text-align: justify;"">&#171;&#160;II.&#160;&#8211;&#160;Au troisi&#232;me alin&#233;a de l&#8217;article L.&#160;3136&#8209;1 du code de la sant&#233; publique, le mot&#160;: &#171;&#160;quatri&#232;me&#160;&#187; est remplac&#233; par le mot&#160;: &#171;&#160;deuxi&#232;me&#160;&#187;.&#160;&#187;</p>",RUANR5L16S2022IDS26201,Rejeté,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"Compléter cet article par l’alinéa suivant :« II. – Au troisième alinéa de l’article L. 3136‑1 du code de la santé publique, le mot : « quatrième » est remplacé par le mot : « deuxième ». »",
73,PRJLANR5L16BTC0014,PA721932,PO800520,"<p style=""text-align: justify;"">Substituer aux mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;compte tenu des limites du droit en vigueur et des besoins sp&#233;cifiques&#160;&#187;&#160;</p><p style=""text-align: justify;"">les mots&#160;:</p><p style=""text-align: justify;"">&#171;&#160;dans le respect de la vie priv&#233;e des Fran&#231;ais&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Tombé,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,Substituer aux mots :« compte tenu des limites du droit en vigueur et des besoins spécifiques » les mots :« dans le respect de la vie privée des Français ».,
94,PRJLANR5L16BTC0014,PA794434,PO800520,"<p style=""text-align: justify;"">&#192; la seconde phrase de l&#8217;alin&#233;a&#160;1, apr&#232;s la seconde occurrence du mot&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;sant&#233;&#160;&#187;,&#160;</p><p style=""text-align: justify;"">ins&#233;rer les mots&#160;:&#160;</p><p style=""text-align: justify;"">&#171;&#160;physique et psychologique&#160;&#187;.</p>",RUANR5L16S2022IDS26201,Tombé,,,RN,CRSANR5L16S2022E1N005,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N005,"À la seconde phrase de l’alinéa 1, après la seconde occurrence du mot : « santé », insérer les mots : « physique et psychologique ».",
363,PRJLANR5L16B0393,PA795778,PO800520,"<p style=""text-align: justify;"">&#192; la premi&#232;re phrase du quatri&#232;me alin&#233;a de l&#8217;article&#160;1519 B du code g&#233;n&#233;ral des imp&#244;ts, le montant&#160;: &#171;&#160;18 605&#160;&#187; est remplac&#233; par le montant&#160;: &#171;&#160;37 210&#160;&#187;.</p>",RUANR5L16S2023IDS26555,Rejeté,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,"À la première phrase du quatrième alinéa de l’article 1519 B du code général des impôts, le montant : « 18 605 » est remplacé par le montant : « 37 210 ».",
365,PRJLANR5L16B0393,PA720614,PO800520,"<p style=""text-align: justify;"">I.&#160;&#8211;&#160;L&#8217;article&#160;4 de la loi n&#176;&#160;2004&#8209;639 du 2 juillet 2004 relative &#224; l&#8217;octroi de mer est compl&#233;t&#233; par un 4&#176;&#160;ainsi r&#233;dig&#233;&#160;:</p><p style=""text-align: justify;"">&#171;&#160;4&#176;&#160;Les livraisons de biens en provenance d&#8217;un &#201;tat membre de l&#8217;Union Europ&#233;enne.&#160;&#187;.</p><p>II.&#160;&#8211;&#160;La perte de recettes pour les collectivit&#233;s territoriales est compens&#233;e &#224; due concurrence par la majoration de la dotation globale de fonctionnement et, corr&#233;lativement pour l&#8217;&#201;tat, par la cr&#233;ation d&#8217;une taxe additionnelle &#224; l&#8217;accise sur les tabacs pr&#233;vue au chapitre&#160;IV du titre&#160;Ier du livre&#160;III du code des impositions sur les biens et services.</p><p>&#160;</p>",RUANR5L16S2023IDS26555,Rejeté,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,"I. – L’article 4 de la loi n° 2004‑639 du 2 juillet 2004 relative à l’octroi de mer est complété par un 4° ainsi rédigé :« 4° Les livraisons de biens en provenance d’un État membre de l’Union Européenne. ».II. – La perte de recettes pour les collectivités territoriales est compensée à due concurrence par la majoration de la dotation globale de fonctionnement et, corrélativement pour l’État, par la création d’une taxe additionnelle à l’accise sur les tabacs prévue au chapitre IV du titre Ier du livre III du code des impositions sur les biens et services. ",
510,PRJLANR5L16B0393,PA794886,PO800520,"<p style=""text-align: justify;"">I.&#160;&#8211;&#160;L&#8217;article&#160;1383 du code g&#233;n&#233;ral des imp&#244;ts est compl&#233;t&#233; par un iIV ainsi r&#233;dig&#233;&#160;:</p><p style=""text-align: justify;"">&#171;&#160;IV.&#160;&#8211;&#160;Les constructions nouvelles reconstructions et additions autres que celles &#224; usage d&#8217;habitation situ&#233;es sur des friches au sens de l&#8217;article L.&#160;111&#8209;26 du code de l&#8217;urbanisme sont exon&#233;r&#233;es de la taxe fonci&#232;re sur les propri&#233;t&#233;s b&#226;ties &#224; hauteur de 100&#160;% de la base imposable durant les sept ann&#233;es qui suivent leur ach&#232;vement.</p><p style=""text-align: justify;"">II.&#160;&#8211;&#160;La perte de recettes pour les collectivit&#233;s territoriales est compens&#233;e &#224; due concurrence par la majoration de leur dotation globale de fonctionnement et, en cons&#233;quence, pour l&#8217;&#201;tat, par la cr&#233;ation d&#8217; une taxe additionnelle &#224; l&#8217;accise sur les tabacs pr&#233;vue au chapitre IV du titre I<sup>er</sup>&#160;du livre III du code des impositions sur les biens et les services.&#160;&#187;</p>",RUANR5L16S2023IDS26555,Rejeté,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,"I. – L’article 1383 du code général des impôts est complété par un iIV ainsi rédigé :« IV. – Les constructions nouvelles reconstructions et additions autres que celles à usage d’habitation situées sur des friches au sens de l’article L. 111‑26 du code de l’urbanisme sont exonérées de la taxe foncière sur les propriétés bâties à hauteur de 100 % de la base imposable durant les sept années qui suivent leur achèvement.II. – La perte de recettes pour les collectivités territoriales est compensée à due concurrence par la majoration de leur dotation globale de fonctionnement et, en conséquence, pour l’État, par la création d’ une taxe additionnelle à l’accise sur les tabacs prévue au chapitre IV du titre Ier du livre III du code des impositions sur les biens et les services. »",
296,PRJLANR5L16B0393,PA795778,PO800520,,RUANR5L16S2023IDS26555,Retiré,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,,
341,PRJLANR5L16B0393,PA795778,PO800520,"<p style=""text-align: justify;"">I.&#160;&#8211;&#160;Apr&#232;s l&#8217;article&#160;278 <i>septies</i> du code g&#233;n&#233;ral des imp&#244;ts, il est ins&#233;r&#233; un article&#160;278 <i>octies</i> ainsi r&#233;dig&#233;&#160;:</p><p style=""text-align: justify;"">&#171;&#160;<i>Art.&#160;278 <i>octies</i></i>.&#160;&#8211;&#160;La taxe sur la valeur ajout&#233;e est per&#231;ue au taux de 0&#160;% en ce qui concerne une liste de produits de premi&#232;re n&#233;cessit&#233; pour l&#8217;alimentation et l&#8217;hygi&#232;ne qui&#160;est fix&#233;e par d&#233;cret.&#160;&#187;</p><p style=""text-align: justify;"">II.&#160;&#8211;&#160;La liste des produits concern&#233;s est &#233;tablie par d&#233;cret en concertation avec les associations de consommateurs.</p><p style=""text-align: justify;"">III.&#160;&#8211;&#160;La perte de recettes pour l&#8217;&#201;tat est compens&#233;e &#224; due concurrence par la cr&#233;ation d&#8217;une taxe additionnelle &#224; la taxe vis&#233;e &#224; l&#8217;article&#160;235&#160;<i>ter</i>&#160;ZD du code g&#233;n&#233;ral des imp&#244;ts.</p><p style=""text-align: justify;"">IV.&#160;&#8211;&#160;La perte de recettes pour l&#8217;&#201;tat est compens&#233;e &#224; due concurrence par la cr&#233;ation d&#8217;une taxe additionnelle &#224; l&#8217;accise sur les tabacs pr&#233;vue au chapitre&#160;IV du titre&#160;I<sup>er</sup> du livre&#160;III du code des impositions sur les biens et services.</p>",RUANR5L16S2023IDS26445,Rejeté,,,RN,CRSANR5L16S2023O1N048,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N048,"I. – Après l’article 278 septies du code général des impôts, il est inséré un article 278 octies ainsi rédigé :« Art. 278 octies. – La taxe sur la valeur ajoutée est perçue au taux de 0 % en ce qui concerne une liste de produits de première nécessité pour l’alimentation et l’hygiène qui est fixée par décret. »II. – La liste des produits concernés est établie par décret en concertation avec les associations de consommateurs.III. – La perte de recettes pour l’État est compensée à due concurrence par la création d’une taxe additionnelle à la taxe visée à l’article 235 ter ZD du code général des impôts.IV. – La perte de recettes pour l’État est compensée à due concurrence par la création d’une taxe additionnelle à l’accise sur les tabacs prévue au chapitre IV du titre Ier du livre III du code des impositions sur les biens et services.",VTANR5L16V514
308,PRJLANR5L16B0393,PA795778,PO800520,"<p style=""text-align: justify;"">L&#8217;article&#160;209&#8209;0 B du code g&#233;n&#233;ral des imp&#244;ts est abrog&#233; &#224; compter du 1<sup>er</sup> janvier 2023.</p>",RUANR5L16S2023IDS26555,Rejeté,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,L’article 209‑0 B du code général des impôts est abrogé à compter du 1er janvier 2023.,
361,PRJLANR5L16B0393,PA795778,PO800520,"<p style=""text-align: justify;"">L&#8217;article&#160;223 <i>quinquies</i> B du code g&#233;n&#233;ral des imp&#244;ts est compl&#233;t&#233; par un III ainsi r&#233;dig&#233;&#160;:</p><p style=""text-align: justify;"">&#171;&#160;III.&#160;&#8211;&#160;Les personnes morales &#233;tablies en France mentionn&#233;es au I et dont le chiffre d&#8217;affaires annuel hors taxe ou l&#8217;actif brut figurant au bilan est sup&#233;rieur ou &#233;gal &#224; 400 millions d&#8217;euros sollicitent un accord pr&#233;alable pr&#233;vu au 7&#176;&#160;de l&#8217;article L.&#160;80&#160;B du livre des proc&#233;dures fiscales&#160;&#187;.</p>",RUANR5L16S2023IDS26555,Rejeté,,,RN,CRSANR5L16S2023O1N050,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N050,L’article 223 quinquies B du code général des impôts est complété par un III ainsi rédigé :« III. – Les personnes morales établies en France mentionnées au I et dont le chiffre d’affaires annuel hors taxe ou l’actif brut figurant au bilan est supérieur ou égal à 400 millions d’euros sollicitent un accord préalable prévu au 7° de l’article L. 80 B du livre des procédures fiscales ».,
316,PRJLANR5L16B0393,PA795778,PO800520,"<p style=""text-align: justify;"">Apr&#232;s l&#8217;article&#160;219 <i>quinquies</i> du code g&#233;n&#233;ral des imp&#244;ts, il est ins&#233;r&#233; un article&#160;219 <i>sexies</i> ainsi r&#233;dig&#233;&#160;:</p><p style=""text-align: justify;"">&#171;&#160;<i>Art.&#160;219 sexies</i>. &#8211; &#192; titre transitoire, les b&#233;n&#233;fices exceptionnels r&#233;alis&#233;s entre le 1<sup>er</sup>&#160;janvier et le 31 d&#233;cembre 2021 par les entreprises r&#233;alisant plus de 100 millions d&#8217;euros de chiffre d&#8217;affaires sont impos&#233;s au double du taux pr&#233;vu par le pr&#233;sent code.</p><p style=""text-align: justify;"">&#171;&#160;Sont qualifi&#233;s d&#8217;exceptionnels les b&#233;n&#233;fices suppl&#233;mentaires observ&#233;s entre les r&#233;sultats enregistr&#233;s&#160;pour l&#8217;ann&#233;e 2019 et, d&#8217;autre part, ceux observ&#233;s pour l&#8217;ann&#233;e 2021.&#160;&#187;</p>",RUANR5L16S2023IDS26444,Rejeté,,,RN,CRSANR5L16S2023O1N047,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N047,"Après l’article 219 quinquies du code général des impôts, il est inséré un article 219 sexies ainsi rédigé :« Art. 219 sexies. – À titre transitoire, les bénéfices exceptionnels réalisés entre le 1er janvier et le 31 décembre 2021 par les entreprises réalisant plus de 100 millions d’euros de chiffre d’affaires sont imposés au double du taux prévu par le présent code.« Sont qualifiés d’exceptionnels les bénéfices supplémentaires observés entre les résultats enregistrés pour l’année 2019 et, d’autre part, ceux observés pour l’année 2021. »",
