uid,nom,prenom,civ
PA721442,Petex-Levet,Christelle,Mme
PA794798,Buffet,Françoise,Mme
PA712014,Ledoux,Vincent,M.
PA719138,Castellani,Michel,M.
PA642935,Becht,Olivier,M.
PA608016,Louwagie,Véronique,Mme
PA793572,Plassard,Christophe,M.
PA794938,Boumertit,Idir,M.
PA429875,Husson,Jean-François,M.
PA795920,Thevenot,Prisca,Mme
PA736169,Eustache-Brinio,Jacqueline,Mme
PA794914,Vincendet,Alexandre,M.
PA775260,Paoli-Gagin,Vanina,Mme
PA719272,Meunier,Frédérique,Mme
PA1573,Guérini,Jean-Noël,M.
PA717163,Schiappa,Marlène,Mme
PA793548,Colombier,Caroline,Mme
PA774109,Beaune,Clément,M.
PA720066,Rist,Stéphanie,Mme
PA793716,Croizier,Laurent,M.
PA736197,de Cidrac,Marta,Mme
PA703541,Pellevat,Cyril,M.
PA796132,Garrido,Raquel,Mme
PA2538,Retailleau,Bruno,M.
PA736224,Menonville,Franck,M.
PA608826,Duby-Muller,Virginie,Mme
PA721828,Berete,Fanta,Mme
PA1592,Habib,David,M.
PA775252,de Marco,Monique,Mme
PA732419,Devinaz,Gilbert-Luc,M.
PA793588,Pacquot,Nicolas,M.
PA736184,Saint-Pé,Denise,Mme
PA382672,Goulet,Nathalie,Mme
PA794330,Brosse,Anthony,M.
PA720014,Tiegna,Huguette,Mme
PA720960,Serva,Olivier,M.
PA795350,Valletoux,Frédéric,M.
PA722366,Fugit,Jean-Luc,M.
PA719006,Le Vigoureux,Fabrice,M.
PA719822,Thillaye,Sabine,Mme
PA795164,Trouvé,Aurélie,Mme
PA703505,Raynal,Claude,M.
PA720968,Benin,Justine,Mme
PA721852,Lebec,Marie,Mme
PA763158,Richer,Marie-Pierre,Mme
PA795266,Carel,Agnès,Mme
PA719408,Havet,Nadège,Mme
PA2952,Warsmann,Jean-Luc,M.
PA331481,Le Maire,Bruno,M.
PA304086,Procaccia,Catherine,Mme
PA794590,Loubet,Alexandre,M.
PA267081,Gruny,Pascale,Mme
PA722110,Wulfranc,Hubert,M.
PA304010,Dominati,Philippe,M.
PA794702,Lingemann,Delphine,Mme
PA607846,Darmanin,Gérald,M.
PA817203,Miller,Laure,Mme
PA703512,Monier,Marie-Pierre,Mme
PA736208,Rambaud,Didier,M.
PA2258,Nachbar,Philippe,M.
PA736248,Houllegatte,Jean-Michel,M.
PA794434,Bentz,Christophe,M.
PA341381,Longeot,Jean-François,M.
PA266808,Rolland,Vincent,M.
PA794854,Echaniz,Inaki,M.
PA736179,Théophile,Dominique,M.
PA775202,Burgoa,Laurent,M.
PA736217,Tissot,Jean-Claude,M.
PA795438,Keke,Rachel,Mme
PA642695,Bothorel,Éric,M.
PA719664,Lavergne,Pascal,M.
PA703511,Robert,Sylvie,Mme
PA791656,Caubel,Charlotte,Mme
PA796050,Schreck,Philippe,M.
PA610002,Sas,Eva,Mme
PA426327,Reichardt,André,M.
PA719778,Jolivet,François,M.
PA775302,Vial,Cédric,M.
PA795836,Cabrolier,Frédéric,M.
PA716,Calvet,François,M.
PA718978,Laqhila,Mohamed,M.
PA267429,Cinieri,Dino,M.
PA794470,Gérard,Félicie,Mme
PA721522,Batut,Xavier,M.
PA720892,Panot,Mathilde,Mme
PA794982,Delpech,Julie,Mme
PA775288,Somon,Laurent,M.
PA793656,Pollet,Lisette,Mme
PA794658,Fait,Philippe,M.
PA429888,Magner,Jacques-Bernard,M.
PA775212,Demas,Patricia,Mme
PA2042,Malhuret,Claude,M.
PA736186,Le Gleut,Ronan,M.
PA775274,Redon-Sarrazy,Christian,M.
PA719640,Mette,Sophie,Mme
PA703500,Bouchet,Gilbert,M.
PA794094,Bouloux,Mickaël,M.
PA605069,Bricout,Jean-Louis,M.
PA736243,Ouzoulias,Pierre,M.
PA793904,Lopez-Liguori,Aurélien,M.
PA703522,Bonhomme,François,M.
PA794974,Margueritte,Louis,M.
PA703485,Ravier,Stéphane,M.
PA1122,Détraigne,Yves,M.
PA795828,Hajjar,Johnny,M.
PA793616,Mauvieux,Kévin,M.
PA721458,Roseren,Xavier,M.
PA267328,Perrin,Cédric,M.
PA795084,Arenas,Rodrigo,M.
PA703513,Chaize,Patrick,M.
PA793744,Stambach-Terrenoir,Anne,Mme
PA720696,Descamps,Béatrice,Mme
PA775248,Le Rudulier,Stéphane,M.
PA736175,Savoldelli,Pascal,M.
PA736178,de Belenet,Arnaud,M.
PA267780,Firmin Le Bodo,Agnès,Mme
PA720908,Moutchou,Naïma,Mme
PA642847,Bazin,Thibault,M.
PA1828,Larcher,Gérard,M.
PA736244,Boulay-Espéronnier,Céline,Mme
PA736237,Sollogoub,Nadia,Mme
PA590034,Carlotti,Marie-Arlette,Mme
PA720002,El Haïry,Sarah,Mme
PA605991,Genevard,Annie,Mme
PA736172,Chauvin,Marie-Christine,Mme
PA610654,Nilor,Jean-Philippe,M.
PA719218,Berville,Hervé,M.
PA1001,Daubresse,Marc-Philippe,M.
PA795228,Abomangoli,Nadège,Mme
PA794778,Regol,Sandra,Mme
PA736232,Janssens,Jean-Marie,M.
PA721608,Bourlanges,Jean-Louis,M.
PA720586,Vatin,Pierre,M.
PA793230,Ranc,Angélique,Mme
PA304002,Assouline,David,M.
PA794930,Tanzilli,Sarah,Mme
PA794598,Jacobelli,Laurent,M.
PA642756,Harribey,Laurence,Mme
PA736173,Gréaume,Michelle,Mme
PA2960,Woerth,Éric,M.
PA794538,François,Thibaut,M.
PA796018,Simonnet,Danielle,Mme
PA303997,Buffet,François-Noël,M.
PA774962,Lebon,Karine,Mme
PA719890,Brulebois,Danielle,Mme
PA794478,Guiraud,David,M.
PA793948,Thierry,Nicolas,M.
PA267907,Grand,Jean-Pierre,M.
PA775266,Phinera-Horth,Marie-Laure,Mme
PA795982,Saintoul,Aurélien,M.
PA796090,Caron,Aymeric,M.
PA721760,Gatel,Maud,Mme
PA703523,Loisier,Anne-Catherine,Mme
PA1993,Longuet,Gérard,M.
PA793756,Piquemal,François,M.
PA678263,Laurent,Pierre,M.
PA795636,Lucas,Benjamin,M.
PA736209,Préville,Angèle,Mme
PA720644,Nury,Jérôme,M.
PA721150,Holroyd,Alexandre,M.
PA722358,Gassilloud,Thomas,M.
PA773443,Dupond-Moretti,Éric,M.
PA759832,Pannier-Runacher,Agnès,Mme
PA795596,Vannier,Paul,M.
PA794118,Vermorel-Marques,Antoine,M.
PA736247,Babary,Serge,M.
PA736167,de la Gontrie,Marie-Pierre,Mme
PA702993,Kanner,Patrick,M.
PA703521,Panunzi,Jean-Jacques,M.
PA720286,Fiat,Caroline,Mme
PA722070,Henriet,Pierre,M.
PA794562,Ballard,Philippe,M.
PA642788,Véran,Olivier,M.
PA793444,Bompard,Manuel,M.
PA774954,Blin,Anne-Laure,Mme
PA795410,Roullaud,Béatrice,Mme
PA721004,Lakrafi,Amélia,Mme
PA736231,Boyer,Jean-Marc,M.
PA721130,Jacques,Micheline,Mme
PA703528,Cabanel,Henri,M.
PA719512,Vignon,Corinne,Mme
PA608416,Hetzel,Patrick,M.
PA429886,Cukierman,Cécile,Mme
PA721880,Guévenoux,Marie,Mme
PA605782,Marcangeli,Laurent,M.
PA722150,Houlié,Sacha,M.
PA796062,Portes,Thomas,M.
PA719412,Le Feur,Sandrine,Mme
PA795240,Reid Arbelot,Mereana,Mme
PA795010,Garin,Marie-Charlotte,Mme
PA304017,Morin-Desailly,Catherine,Mme
PA332228,Benoit,Thierry,M.
PA719100,Ardouin,Jean-Philippe,M.
PA721710,Peyron,Michèle,Mme
PA795864,Cazeneuve,Pierre,M.
PA758431,Regnard,Damien,M.
PA795422,Maudet,Damien,M.
PA791812,Chikirou,Sophia,Mme
PA703517,Micouleau,Brigitte,Mme
PA719388,Le Meur,Annaïg,Mme
PA703495,Roux,Jean-Yves,M.
PA795184,Le Gayic,Tematai,M.
PA267512,Marc,Alain,M.
PA795454,Ben Cheikh,Karim,M.
PA607090,Vigier,Jean-Pierre,M.
PA721976,Millienne,Bruno,M.
PA795884,Ferracci,Marc,M.
PA795244,Lenormand,Stéphane,M.
PA609590,Rabault,Valérie,Mme
PA721210,Corbière,Alexis,M.
PA607193,Errante,Sophie,Mme
PA720900,Rilhac,Cécile,Mme
PA775178,Bellurot,Nadine,Mme
PA719922,Causse,Lionel,M.
PA794762,Dogor-Such,Sandrine,Mme
PA340643,Royer-Perreaut,Lionel,M.
PA793394,Delaporte,Arthur,M.
PA267112,Deseyne,Chantal,Mme
PA795430,Delautrette,Stéphane,M.
PA703494,Di Folco,Catherine,Mme
PA775240,Joseph,Else,Mme
PA605745,Sansu,Nicolas,M.
PA429887,Guerriau,Joël,M.
PA303995,Schillinger,Patricia,Mme
PA795156,Keloua Hachi,Fatiha,Mme
PA642764,Aviragnet,Joël,M.
PA793980,Fournier,Charles,M.
PA775296,Varaillas,Marie-Claude,Mme
PA775188,Bonneau,François,M.
PA736194,Meurant,Sébastien,M.
PA2444,Poncelet,Christian,M.
PA795808,Sebaihi,Sabrina,Mme
PA736223,Henno,Olivier,M.
PA795900,Hamelet,Marine,Mme
PA677483,Mazars,Stéphane,M.
PA793374,Baubry,Romain,M.
PA775176,Belin,Bruno,M.
PA744079,Bascher,Jérôme,M.
PA775234,Haye,Ludovic,M.
PA791824,Legrain,Sarah,Mme
PA330684,Boyer,Valérie,Mme
PA330357,Dussopt,Olivier,M.
PA309643,Besse,Véronique,Mme
PA331582,Vigier,Philippe,M.
PA718674,Givernet,Olga,Mme
PA267872,Pemezec,Philippe,M.
PA796010,Maillot,Frédéric,M.
PA721764,Grégoire,Olivia,Mme
PA415467,de Legge,Dominique,M.
PA267762,Decool,Jean-Pierre,M.
PA721410,Bonnivard,Émilie,Mme
PA775220,Dumont,Françoise,Mme
PA722344,Julien-Laferrière,Hubert,M.
PA721024,Genetet,Anne,Mme
PA722046,Bergé,Aurore,Mme
PA793940,Cazenave,Thomas,M.
