uid,objet,type,date,seance,sort
VTANR5L16V676,l'amendement n° 28 de M. Descoeur et les amendements identiques suivants après l'article 1er CBA du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26601,rejeté
VTANR5L16V92,l'amendement de suppression n° 1 de M. Echaniz et les amendements identiques suivants à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,RUANR5L16S2022IDS26277,rejeté
VTANR5L16V1291,l'amendement n° 248 de M. Ray à l'article 17 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-23,RUANR5L16S2023IDS26892,rejeté
VTANR5L16V799,l'amendement n° 948 (rect.) de M. Potier après l'article 16 octies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26640,adopté
VTANR5L16V1586,l'amendement n° 438 de M. Carrière après l'article 37 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-17,RUANR5L16S2023IDS27062,rejeté
VTANR5L16V1168,l'amendement n° 334 de M. Laisney à l'article 1er D du projet de loi relatif à l'accélération des procédures lièes à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-13,RUANR5L16S2023IDS26878,rejeté
VTANR5L16V1055,l'amendement n° 3506 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V228,l'ensemble de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (première lecture).,scrutin public ordinaire,2022-10-06,RUANR5L16S2023IDS26384,adopté
VTANR5L16V459,l'amendement n° 724 de M. Gaillard à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Outre-Mer.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26422,adopté
VTANR5L16V1511,l'article 2 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,adopté
VTANR5L16V1629,l'amendement n° 1501 de M. Lachaud à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27074,rejeté
VTANR5L16V1304,l'amendement n° 19 de M. Berteloot à l'article premier de la proposition de loi visant à lutter contre le dumping social sur le transmanche (première lecture).,scrutin public ordinaire,2023-03-27,RUANR5L16S2023IDS26938,rejeté
VTANR5L16V418,l'amendement n° 1854 du Gouvernement après l'article 44 de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,adopté
VTANR5L16V1706,l'article 9 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-30,RUANR5L16S2023IDS27081,adopté
VTANR5L16V964,l'amendement n° 470 de M. de Courson à l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-14,RUANR5L16S2023IDS26792,rejeté
VTANR5L16V815,le sous-amendement n° 3220 de M. Delautrette à l'amendement n° 2734 du Gouvernement à l'article 18 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26624,adopté
VTANR5L16V1480,l'amendement n° 51 de M. Lacresse à l'article 3 bis de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (deuxième lecture).,scrutin public ordinaire,2023-05-04,RUANR5L16S2023IDS27023,rejeté
VTANR5L16V102,l'amendement n° 284 de M. Arenas après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,RUANR5L16S2022IDS26277,rejeté
VTANR5L16V446,l'amendement n° 614 de M. Pancher à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Culture.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26421,adopté
VTANR5L16V201,l'amendement n° 320 de Mme Erodi à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,RUANR5L16S2023IDS26380,rejeté
VTANR5L16V200,l'amendement n° 292 de Mme Amrani à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,RUANR5L16S2023IDS26380,rejeté
VTANR5L16V1734,l'article 24 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-31,RUANR5L16S2023IDS27082,adopté
VTANR5L16V509,l'amendement n° 138 de M. Cordier avant l'article 1 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-07,RUANR5L16S2023IDS26445,rejeté
VTANR5L16V916,l'amendement n° 18063 de M. Jumel à l'article premier du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-08,RUANR5L16S2023IDS26782,rejeté
VTANR5L16V1705,l'article 8 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-30,RUANR5L16S2023IDS27081,adopté
VTANR5L16V299,l'amendement n° 202 de M. Bilde après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26395,rejeté
VTANR5L16V1224,l'amendement n° 472 de M. Armand à l'article 9 A du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26893,adopté
VTANR5L16V46,l'amendement n° 322 de Mme Le Pen après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,RUANR5L16S2022IDS26209,rejeté
VTANR5L16V1096,l'amendement n° 2809 de M. Bernalicis et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26804,rejeté
VTANR5L16V456,l'amendement n° 1140 de M. Kamardine à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Outre-Mer.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26422,adopté
VTANR5L16V723,l'amendement n° 2453 de Mme Trouvé et l'amendement identique suivant à l'article 9 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-09,RUANR5L16S2023IDS26607,rejeté
VTANR5L16V1074,l'amendement n° 3280 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V221,l'amendement n° 374 rectifié du Gouvernement à l'article 4 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,RUANR5L16S2023IDS26382,adopté
VTANR5L16V1267,l'amendement n° 217 de Mme Galzy à l'article 7 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-22,RUANR5L16S2023IDS26889,rejeté
VTANR5L16V1425,l'article 2 de la proposition de loi portant mesures pour bâtir la société du bien vieillir en France (première lecture).,scrutin public ordinaire,2023-04-13,RUANR5L16S2023IDS27001,adopté
VTANR5L16V917,l'amendement n° 697 de M. Guedj à l'article premier du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-08,RUANR5L16S2023IDS26782,rejeté
VTANR5L16V1683,l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-26,RUANR5L16S2023IDS27079,adopté
VTANR5L16V1081,l'amendement n° 3284 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V473,l'amendement n° 1408 de M. Gillet à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Outre-Mer.,scrutin public ordinaire,2022-10-28,RUANR5L16S2023IDS26422,rejeté
VTANR5L16V1159,l'article 1er A du projet de loi relatif à l'accélération des procédures lièes à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-13,RUANR5L16S2023IDS26877,adopté
VTANR5L16V942,l'amendement n° 1051 de M. Ruffin et les amendements identiques suivants à l'article premier du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-10,RUANR5L16S2023IDS26787,rejeté
VTANR5L16V894,l'amendement n° 17 du Gouvernement au projet de loi relatif à l'accélération de la production d'énergies renouvelables (texte de la commission mixte paritaire).,scrutin public ordinaire,2023-01-31,RUANR5L16S2023IDS26757,adopté
VTANR5L16V1463,l'amendement de rédaction globale n° 11 de M. Sabatou à l'article premier (supprimé) de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (deuxième lecture).,scrutin public ordinaire,2023-05-04,RUANR5L16S2023IDS27023,rejeté
VTANR5L16V1772,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi d'approbation des comptes de la sécurité sociale pour l'année 2022 (première lecture).",scrutin public ordinaire,2023-06-06,RUANR5L16S2023IDS27159,rejeté
VTANR5L16V1688,l'amendement n° 1697 de M. Giletti à l'article 3 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-26,RUANR5L16S2023IDS27079,rejeté
VTANR5L16V921,l'amendement n° 686 de M. Guedj et les amendements identiques suivants à l'article premier du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-08,RUANR5L16S2023IDS26782,rejeté
VTANR5L16V611,l'amendement n° 293 de M. Rudigoz à l'article premier et rapport annexé du projet de loi d'orientation et de programmation du ministère de l'intérieur (première lecture).,scrutin public ordinaire,2022-11-18,RUANR5L16S2023IDS26551,adopté
VTANR5L16V215,l'amendement n° 70 de M. Delaporte et l'amendement identique suivant après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,RUANR5L16S2023IDS26381,rejeté
VTANR5L16V218,l'amendement n° 168 de Mme Garin après l'article 2 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,RUANR5L16S2023IDS26381,rejeté
VTANR5L16V1110,l'amendement n° 23 de Mme Erodi après l'article premier de la proposition de loi visant à renforcer la protection des familles d'enfants atteints d'une maladie ou d'un handicap ou victimes d'un accident d'une particulière gravité (première lecture).,scrutin public ordinaire,2023-03-02,RUANR5L16S2023IDS26846,rejeté
VTANR5L16V324,l'amendement n° 1744 de Mme Leduc et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,RUANR5L16S2023IDS26398,rejeté
VTANR5L16V183,l'article unique du projet de loi autorisant la ratification du traité entre la République française et la République italienne pour une coopération bilatérale renforcée (première lecture).,scrutin public ordinaire,2022-07-28,RUANR5L16S2022IDS26256,adopté
VTANR5L16V622,la deuxième partie du projet de loi de financement de la sécurité sociale pour 2023 (nouvelle lecture).,scrutin public ordinaire,2022-11-21,RUANR5L16S2023IDS26537,adopté
VTANR5L16V1739,l'article 29 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-31,RUANR5L16S2023IDS27082,adopté
VTANR5L16V398,l'amendement n° 1318 de M. Bernalicis à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté
VTANR5L16V64,l'amendement de suppression n° 212 de Mme Batho et les amendements identiques suivants à l'article 13 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,RUANR5L16S2022IDS26212,rejeté
VTANR5L16V1126,l'amendement n° 1 de M. Saulignac à l'article unique de la proposition de loi visant à étendre le champ d'application de la peine complémentaire obligatoire d'inégibilité aux cas de condamnation pour des violences aggravées ayant entraîné une incapacité temporaire de huit jours ou moins (première lecture).,scrutin public ordinaire,2023-03-07,RUANR5L16S2023IDS26859,rejeté
VTANR5L16V856,l'amendement n° 41 de M. Benoit à l'article 3 bis de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté
VTANR5L16V1537,l'amendement n° 4 de M. Gillet après l'article 10 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,rejeté
VTANR5L16V317,l'amendement n° 2829 de M. Bryan Masson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,RUANR5L16S2023IDS26397,rejeté
VTANR5L16V100,l'amendement n° 846 de Mme Calvez à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,RUANR5L16S2022IDS26277,rejeté
VTANR5L16V1549,l'article 15 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,adopté
VTANR5L16V699,le sous-amendement n° 3120 de M. Nury à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,adopté
VTANR5L16V1412,l'ensemble du projet de loi autorisant la ratification de la résolution A.1152 (32) relative aux amendements à la Convention du 6 mars 1948 portant création de l'Organisation maritime internationale (première lecture).,scrutin public ordinaire,2023-04-12,RUANR5L16S2023IDS26999,adopté
VTANR5L16V1138,l'amendement n° 6 de M. Frappé après l'article 5 de la proposition de loi relative à la prévention de l'exposition excessive des enfants aux écrans (première lecture).,scrutin public ordinaire,2023-03-07,RUANR5L16S2023IDS26860,rejeté
VTANR5L16V1465,l'amendement n° 21 de M. Jean-René Cazeneuve et l'amendement identique suivant à l'article 2 de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (deuxième lecture).,scrutin public ordinaire,2023-05-04,RUANR5L16S2023IDS27023,rejeté
VTANR5L16V419,l'amendement n° 1904 de M. Balanant après l'article 44 de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté
VTANR5L16V698,le sous-amendement n° 3113 de M. Fournier à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,adopté
VTANR5L16V1379,l'amendement n° 56 de M. Prud'homme après l'article 3 de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26967,rejeté
VTANR5L16V1720,l'article 15 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-31,RUANR5L16S2023IDS27082,adopté
VTANR5L16V1338,l'article 6 de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public ordinaire,2023-03-29,RUANR5L16S2023IDS26943,adopté
VTANR5L16V1222,l'amendement n° 744 de Mme Battistel à l'article 9 A du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26893,rejeté
VTANR5L16V1334,l'article 4 de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public ordinaire,2023-03-29,RUANR5L16S2023IDS26943,adopté
VTANR5L16V1556,l'amendement n° 419 de Mme Couturier après l'article 15 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-17,RUANR5L16S2023IDS27061,rejeté
VTANR5L16V1125,l'amendement n° 15 de Mme Lavalette à l'article premier de la proposition de loi relative à la prévention de l'exposition excessive des enfants aux écrans (première lecture).,scrutin public ordinaire,2023-03-06,RUANR5L16S2023IDS26858,rejeté
VTANR5L16V1309,l'amendement n° 59 de M. Guiraud après l'article premier de la proposition de loi visant à lutter contre le dumping social sur le transmanche (première lecture).,scrutin public ordinaire,2023-03-28,RUANR5L16S2023IDS26940,rejeté
VTANR5L16V1,"la motion de censure déposée en application de l'article 49, alinéa 2, de la Constitution par Mme Mathilde Panot, MM. Boris Vallaud et Julien Bayou, Mme Cyrielle Chatelain, M. André Chassaigne et 145 de leurs collègues.",scrutin public solennel,2022-07-11,RUANR5L16S2022IDS26198,rejeté
VTANR5L16V1704,l'article 7 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-30,RUANR5L16S2023IDS27080,adopté
VTANR5L16V249,l'article 19 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,RUANR5L16S2023IDS26389,rejeté
VTANR5L16V961,l'amendement n° 422 de M. Colombani et les amendements identiques suivants à l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-13,RUANR5L16S2023IDS26791,adopté
VTANR5L16V826,l'amendement de suppression n° 2 de M. Guedj et les amendements identiques suivants à l'article 2 de la proposition de loi visant à favoriser et inciter les entreprises à augmenter les salaires nets de 10% (première lecture).,scrutin public ordinaire,2023-01-12,RUANR5L16S2023IDS26684,adopté
VTANR5L16V864,l'amendement n° 359 de Mme Fiat à l'article premier de la proposition de loi portant amélioration de l'accès aux soins par la confiance aux professionnels de santé (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26692,adopté
VTANR5L16V771,l'amendement n° 2506 de M. Tavel à l'article 15 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-13,RUANR5L16S2023IDS26619,rejeté
VTANR5L16V1546,l'amendement n° 74 de M. Delautrette et les amendements identiques suivants à l'article 15 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,rejeté
VTANR5L16V1607,l'amendement n° 1178 de M. Lachaud et l'amendement identique suivant à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-24,RUANR5L16S2023IDS27072,rejeté
VTANR5L16V1029,l'amendement n° 3249 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V860,l'amendement n° 69 de M. Potier à l'article 7 de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté
VTANR5L16V1561,l'amendement n° 81 de M. Delautrette après l'article 20 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-17,RUANR5L16S2023IDS27061,rejeté
VTANR5L16V1213,l'amendement de suppression n° 6 de Mme Laernoes et les amendements identiques suivants à l'article 5 du projet de loi relatif à l’accélération des procédures liées à la construction de nouvelles installations nucléaires à proximité de sites nucléaires existants et au fonctionnement des installations existantes (première lecture).,scrutin public ordinaire,2023-03-16,RUANR5L16S2023IDS26883,rejeté
VTANR5L16V1479,l'amendement n° 50 de M. Lacresse à l'article 3 bis de la proposition de loi visant à protéger le groupe Électricité de France d'un démembrement (deuxième lecture).,scrutin public ordinaire,2023-05-04,RUANR5L16S2023IDS27023,rejeté
VTANR5L16V1506,l'amendement n° 61 de Mme Jourdan à l'article premier de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27057,rejeté
VTANR5L16V1676,l'amendement n° 1548 de Mme Le Hénanff et l'amendement identique suivant à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-26,RUANR5L16S2023IDS27078,adopté
VTANR5L16V115,l'amendement n° 263 de M. Amard après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,RUANR5L16S2022IDS26278,rejeté
VTANR5L16V1790,l'amendement n° 15 de Mme Parmentier après l'article 3 de la proposition de loi visant à renforcer la continuité territoriale en Outre-Mer (première lecture).,scrutin public ordinaire,2023-06-08,RUANR5L16S2023IDS27178,rejeté
VTANR5L16V995,l'amendement n° 4508 de Mme Etienne après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-16,RUANR5L16S2023IDS26796,rejeté
VTANR5L16V1701,l'amendement n° 1294 de Mme Pic à l'article 7 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-30,RUANR5L16S2023IDS27080,rejeté
VTANR5L16V400,l'amendement n° 1839 de M. de Lépineau à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture) - Mission Justice,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26418,rejeté
VTANR5L16V882,"l'article 11 du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans les domaines de l'économie, de la santé, du travail, des transports et de l'agriculture (première lecture).",scrutin public ordinaire,2023-01-24,RUANR5L16S2023IDS26738,adopté
VTANR5L16V925,l'amendement n° 11 de Mme Keloua Hachi à l'article premier de la proposition de loi visant à garantir un tarif réduit aux étudiants boursiers et précaires dans les sites de restauration gérés par les centres régionaux des oeuvres universitaires (première lecture).,scrutin public ordinaire,2023-02-09,RUANR5L16S2023IDS26784,adopté
VTANR5L16V1363,le sous-amendement n° 103 de M. de Fournas à l'amendement n° 94 du Gouvernement à l'article premier de la proposition de loi visant à mieux manger en soutenant les Français face à l'inflation et en favorisant l'accès à une alimentation saine (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26966,rejeté
VTANR5L16V855,l'amendement n° 40 de M. Benoit à l'article 3 bis de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,rejeté
VTANR5L16V421,les crédits de la mission Défense à l'article 27 et État B de la seconde partie du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-27,RUANR5L16S2023IDS26419,adopté
VTANR5L16V898,l'amendement de suppression n° 16 de Mme Cousin et les amendements identiques suivants à l'article premier de la proposition de loi portant fusion des filières à responsabilité élargie des producteurs d'emballages ménagers et des producteurs de papier (première lecture).,scrutin public ordinaire,2023-01-31,RUANR5L16S2023IDS26758,rejeté
VTANR5L16V850,l'amendement n° 13 (rect.) de M. Potier après l'article 2 bis de la proposition de loi visant à sécuriser l'approvisionnement des Français en produits de grande consommation (première lecture).,scrutin public ordinaire,2023-01-18,RUANR5L16S2023IDS26691,adopté
VTANR5L16V690,l'amendement n° 2424 de M. Laisney à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26602,rejeté
VTANR5L16V906,"l'ensemble du projet de loi autorisant l’approbation de la convention d’entraide judiciaire en matière pénale entre le Gouvernement de la République française et le Gouvernement de la République du Sénégal, et de la convention d’extradition entre le Gouvernement de la République française et le Gouvernement de la République du Sénégal (première lecture).",scrutin public ordinaire,2023-02-01,RUANR5L16S2023IDS26759,adopté
VTANR5L16V1049,l'amendement n° 3304 de M. Ruffin et les amendements identiques suivants après l'article 2 du projet de loi de financement rectificative de la sécurité sociale pour 2023 (première lecture).,scrutin public ordinaire,2023-02-17,RUANR5L16S2023IDS26803,rejeté
VTANR5L16V819,l'amendement n° 1213 de M. Meizonnet après l'article 28 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26641,rejeté
VTANR5L16V512,l'amendement n° 13 de M. Cordier et les amendements identiques suivants avant l'article 1 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-11-07,RUANR5L16S2023IDS26445,rejeté
VTANR5L16V1293,l'article 17 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-23,RUANR5L16S2023IDS26892,adopté
VTANR5L16V1407,l'amendement n° 44 de M. Bayou après l'article premier de la proposition de loi visant à interdire les vols en jets privés (première lecture).,scrutin public ordinaire,2023-04-06,RUANR5L16S2023IDS26968,rejeté
VTANR5L16V129,l'amendement n° 647 de M. Maudet à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,RUANR5L16S2022IDS26214,rejeté
VTANR5L16V1530,l'amendement n° 337 de M. Dive après l'article 7 ter de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27058,rejeté
VTANR5L16V792,le sous-amendement n° 3229 de M. Fournier à l'amendement n° 2996 de M. Bothorel à l'article 11 decies du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-14,RUANR5L16S2023IDS26639,rejeté
VTANR5L16V241,l'amendement n° 71 de M. Philippe Brun à l'article 13 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,RUANR5L16S2023IDS26389,rejeté
VTANR5L16V1736,l'article 26 du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-31,RUANR5L16S2023IDS27082,adopté
VTANR5L16V820,l'amendement n° 556 de Mme Mathilde Paris après l'article 28 du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-15,RUANR5L16S2023IDS26641,rejeté
